CNN,Street_Name,Location,X_Coord,Y_Coord,Latitude,Longitude,BOS_District,Zip_Code,SFAR_Neighborhood_Desc,Jurisdiction,Layer,Bike_Path,Accepted
110000,01ST ST,01ST ST: CLEMENTINA ST to FOLSOM ST (245 - 299),6014174.52,2114753.853,37.7875079,-122.3947446,6,94105,South Beach,CALTRANS/DPW,STREETS,No,N
114000,01ST ST,01ST ST: HARRISON ST \ I-80 E ON RAMP to END (400 - 450),6014784.513,2114116.436,37.7857916,-122.3925895,6,94105,South Beach,CALTRANS/DPW,STREETS,No,N
140000,02ND ST,02ND ST: HARRISON ST to STILLMAN ST (400 - 459),6014173.689,2113442.524,37.78390725,-122.3946556,6,94107,South of Market,CALTRANS/DPW,STREETS,Yes,N
150000,03RD AVE,03RD AVE: END to LAKE ST (1 - 99),5994888.446,2114976.446,37.78702792,-122.4614862,1,94118,Lake,DPW,STREETS,No,N
159000,03RD AVE,03RD AVE: KEZAR DR \ LINCOLN WAY to LINCOLN WAY (1100 - 1199),5995166.956,2107405.925,37.7662573,-122.459974,7,94117,Inner Sunset,DPW,STREETS,Yes,N
172000,03RD ST,03RD ST: HARRISON ST to PERRY ST (400 - 432),6013451.935,2112885.03,37.78233634,-122.3971135,6,94107,South of Market,DPW,STREETS,No,N
174000,03RD ST,03RD ST: STILLMAN ST to BRYANT ST (467 - 499),6013735.533,2112587.71,37.78153576,-122.3961115,6,94107,South of Market,DPW,STREETS,No,N
233202,03RD ST,03RD ST: LE CONTE AVE to KEITH ST (6600 - 6698) -- WEST --,6012751.272,2089636.241,37.71846115,-122.3979061,10,94124,Bayview Heights,DPW,STREETS,No,N
234000,03RD ST,03RD ST: END to BAY SHORE BLVD (0 - 0),6012653.51,2089460.119,37.71797211,-122.3982317,10,94124,Bayview Heights,CALTRANS/DPW,PAPER_FWYS,No,N
237000,03RD ST,03RD ST: OLNEY AVE to GIRARD ST \ SAN BRUNO AVE (6800 - 6899),6012284.573,2088954.591,37.71656347,-122.3994715,10,94124,Visitacion Valley,CALTRANS/DPW,PAPER_FWYS,No,N
259000,04TH ST,04TH ST: HARRISON ST \ I-80 W ON RAMP to PERRY ST (416 - 441),6012793.328,2112257.706,37.78057717,-122.3993479,6,94107,South of Market,DPW,STREETS,No,N
261000,04TH ST,04TH ST: STILLMAN ST to BRYANT ST \ I-80 E OFF RAMP (463 - 499),6013081.59,2111959.031,37.77977314,-122.3983297,6,94107,South of Market,DPW,STREETS,No,N
271000,04TH ST,04TH ST: MISSION CREEK to END (1000 - 1049),6014837.078,2110131.797,37.7748536,-122.3921289,6,94158,Mission Bay,DPW,STREETS,Yes,N
19980000,04TH ST,04TH ST: END to CHANNEL ST (1050 - 1099),6014943.138,2110005.857,37.77451368,-122.3917532,6,94158,Mission Bay,DPW,STREETS,No,N
19990001,04TH ST,04TH ST: 16TH ST to END (1800 - 1840),6015167.003,2107114.891,37.76658815,-122.3907767,6,94158,Mission Bay,DPW,STREETS,No,N
19990002,04TH ST,04TH ST: END to END (1841 - 1940),6015185.163,2106788.252,37.76569228,-122.390691,6,94107,Mission Bay,DPW,PSEUDO,No,N
19990003,04TH ST,04TH ST: END to MARIPOSA ST \ MINNESOTA ST (1941 - 1999),6015139.397,2106396.502,37.76461408,-122.390822,6,94107,Mission Bay,DPW,STREETS,No,N
302000,05TH ST,05TH ST: HARRISON ST \ I-80 W OFF RAMP to PERRY ST (400 - 449),6012136.065,2111631.179,37.77882022,-122.4015777,6,94107,South of Market,DPW,STREETS,Yes,N
303000,05TH ST,05TH ST: PERRY ST to BRYANT ST \ I-80 E ON RAMP (450 - 499),6012354.791,2111402.185,37.77820366,-122.4008049,6,94107,South of Market,CALTRANS/DPW,STREETS,Yes,N
338000,06TH ST,06TH ST: HARRISON ST to AHERN WAY (400 - 449),6011503.378,2110978.827,37.77699369,-122.4037205,6,94103,South of Market,CALTRANS/DPW,STREETS,No,N
339000,06TH ST,06TH ST: AHERN WAY to BRYANT ST (436 - 499),6011722.197,2110749.779,37.776377,-122.4029474,6,94103,South of Market,DPW,STREETS,No,N
341000,06TH ST,06TH ST: BRANNAN ST \ I-280 NORTHBOUND \ I-280 SOUTHBOUND to BLUXOME ST (600 - 662),6012387.514,2110053.363,37.77450193,-122.400597,6,94107,South of Market,CALTRANS/DPW,PAPER,No,N
342000,06TH ST,06TH ST: BLUXOME ST to TOWNSEND ST (643 - 699),6012606.669,2109823.963,37.77388427,-122.3998227,6,94107,South of Market,CALTRANS/DPW,STREETS,No,N
344000,06TH ST,06TH ST: END to BERRY ST (764 - 799),6013067.975,2109339.851,37.77258071,-122.398193,6,94107,Mission Bay,CALTRANS/DPW,PAPER,No,N
357000,07TH AVE,07TH AVE: LINCOLN WAY to MARTIN LUTHER KING JR DR (1190 - 1199),5993902.714,2107430.111,37.76625092,-122.4643484,7,94117,Golden Gate Park,RECPARK/DPW,PARKS,No,N
374000,07TH ST,07TH ST: HARRISON ST to I-80 E OFF RAMP (400 - 448),6010868.819,2110329.244,37.77517462,-122.4058699,6,94103,South of Market,CALTRANS/DPW,STREETS,Yes,N
374002,07TH ST,07TH ST: I-80 E OFF RAMP to BRYANT ST (470 - 499),6011166.112,2110018.378,37.77433767,-122.4048196,6,94103,South of Market,DPW,STREETS,Yes,N
394000,08TH AVE,08TH AVE: FULTON ST to JOHN F KENNEDY DR (800 - 809),5993519.287,2109897.407,37.77300335,-122.4658539,1,94118,Golden Gate Park,RECPARK/DPW,PARKS,Yes,N
415000,08TH ST,08TH ST: HARRISON ST to I-80 W OFF RAMP (400 - 409),6010105.918,2109816.843,37.77372499,-122.4084728,6,94103,South of Market,DPW,STREETS,Yes,N
416000,08TH ST,08TH ST: BRYANT ST to BRANNAN ST (500 - 599),6010750.234,2109143.171,37.7719113,-122.4061965,6,94103,South of Market,CALTRANS/DPW,STREETS,Yes,N
430000,09TH AVE,09TH AVE: MARTIN LUTHER KING JR DR to LINCOLN WAY (1175 - 1199),5993299.266,2107424.338,37.76620026,-122.4664352,7,94117,Golden Gate Park,RECPARK/DPW,PARKS,No,N
444101,09TH AVE,09TH AVE: END to UNNAMED 031 (2218 - 2240) -- SOUTH --,5993440.696,2100614.627,37.74751072,-122.4654513,7,94116,Forest  Hill,DPW,STREETS,No,N
444102,09TH AVE,09TH AVE: UNNAMED 031 to END (2242 - 2298) -- SOUTH --,5993238.201,2100582.581,37.74741105,-122.4661492,7,94116,Forest  Hill,DPW,STREETS,No,N
444201,09TH AVE,09TH AVE: END to UNNAMED 030 (2217 - 2247) -- NORTH --,5993380.641,2100630.533,37.74755093,-122.4656601,7,94116,Forest  Hill,DPW,STREETS,No,N
444202,09TH AVE,09TH AVE: UNNAMED 030 to END (2249 - 2263) -- NORTH --,5993185.968,2100591.018,37.7474312,-122.4663304,7,94116,Golden Gate Heights,DPW,STREETS,No,N
461000,10TH AVE,10TH AVE: END to LAKE ST (1 - 99),5992718.732,2114878.786,37.78663465,-122.4689857,1,94118,Lake,DPW,STREETS,No,N
469000,10TH AVE,10TH AVE: FULTON ST to JOHN F KENNEDY DR (800 - 809),5992879.148,2109878.078,37.77291333,-122.4680668,1,94118,Golden Gate Park,RECPARK/DPW,PARKS,Yes,N
479000,10TH AVE,10TH AVE: QUINTARA ST to MENDOSA AVE \ UNNAMED 030 (2100 - 2199),5993200.986,2101015.164,37.74859666,-122.4663093,7,94116,Golden Gate Heights,DPW,STREETS,No,N
518000,12TH AVE,12TH AVE: 09TH AVE \ RIVERA ST to END (2200 - 2250),5992634.83,2100358.381,37.74676062,-122.4682193,7,94116,Golden Gate Heights,DPW,PAPER,No,N
565000,14TH AVE,14TH AVE: NORIEGA ST to ORTEGA ST (1751 - 1798),5991867.165,2103356.402,37.75494805,-122.4710921,7,94122,Golden Gate Heights,DPW,STREETS,No,N
19002000,14TH AVE,14TH AVE: WEDEMEYER ST to PARK BLVD (0 - 0),5991466.898,2115162.931,37.78734242,-122.4733374, ,94129,Presidio,PRESIDIO/RECPARK/DPW,PARKS_NPS_PRESIDIO,Yes,N
616000,15TH AVE,15TH AVE: KIRKHAM ST to LAWTON ST \ LOMITA AVE (1500 - 1549),5991544.395,2105050.031,37.75957963,-122.4723318,7,94122,Inner Sunset,RECPARK/DPW,STREETS_PEDESTRI,No,N
642000,15TH ST,15TH ST: ALABAMA ST to TREAT AVE (1200 - 1249),6008837.207,2107306.359,37.76676065,-122.412684,9,94103,Inner Mission,DPW,STREETS,No,N
680000,16TH AVE,16TH AVE: KIRKHAM ST to LAWTON ST (1500 - 1542),5991171.463,2105081.458,37.75964433,-122.4736239,7,94122,Inner Sunset,DPW,STREETS_PEDESTRI,No,N
696000,16TH ST,16TH ST: ILLINOIS ST to 03RD ST (400 - 499),6015789.433,2107227.069,37.76693068,-122.3886316,6,94158,Mission Bay,DPW,STREETS,Yes,N
772000,17TH ST,17TH ST: PENNSYLVANIA AVE to MISSISSIPPI ST (1000 - 1049),6014128.031,2106658.444,37.76527715,-122.3943384,10,94107,Potrero Hill,DPW,STREETS,No,N
852000,18TH ST,18TH ST: MINNESOTA ST to I-280 N ON RAMP (800 - 967),6014923.715,2105768.413,37.76287752,-122.391524,10,94107,Central Waterfront,DPW,STREETS,No,N
864000,18TH ST,18TH ST: SAN BRUNO AVE to UTAH ST (2300 - 2399),6010820.14,2105541.369,37.76202548,-122.405701,10,94110,Potrero Hill,CALTRANS/DPW,PAPER_FWYS,No,N
940000,19TH ST,19TH ST: INDIANA ST to END (900 - 933),6014856.108,2105298.221,37.76158272,-122.391725,10,94107,Central Waterfront,DPW,STREETS,No,N
941000,19TH ST,19TH ST: END to IOWA ST (934 - 999),6014716.115,2105290.407,37.76155349,-122.3922086,10,94107,Central Waterfront,CALTRANS/DPW,PAPER_FWYS,No,N
942000,19TH ST,19TH ST: IOWA ST to END (1000 - 1049),6014559.66,2105281.675,37.76152083,-122.3927491,10,94107,Potrero Hill,CALTRANS/DPW,PAPER_FWYS,No,N
952000,19TH ST,19TH ST: DE HARO ST to RHODE ISLAND ST (1900 - 1999),6011968.105,2105140.244,37.76098821,-122.4017024,10,94107,Potrero Hill,DPW,PAPER,No,N
957000,19TH ST,19TH ST: END to UTAH ST (2350 - 2399),6010739.218,2105076.866,37.76074554,-122.4059481,10,94110,Potrero Hill,CALTRANS/DPW,PAPER_FWYS,No,N
958000,19TH ST,19TH ST: UTAH ST to POTRERO AVE (2400 - 2499),6010559.86,2105073.499,37.76072626,-122.4065682,10,94110,Inner Mission,CALTRANS/DPW,PAPER_FWYS,No,N
980000,19TH ST,19TH ST: DOLORES ST to CHURCH ST (3700 - 3799),6004629.775,2104843.291,37.75976061,-122.4270613,8,94114,Mission Dolores,RECPARK/DPW,UPROW,No,N
